t_hours,T_out_C,T_in_C,T_bed_avg_C
116.75,,,44.14601205950885
117.0,,,44.14502215640804
117.25,,,44.144032290785525
117.5,,,44.143042462639904
117.75,,,44.14205267196974
118.0,,,44.14106291877363
118.25,,,44.14007320305014
118.5,,,44.13908352479786
118.75,,,44.13809388401537
119.0,,,44.13710428070125
119.25,,,44.13611471485409
119.5,,,44.13512518647245
119.75,,,44.13413569555494
120.0,37.56996287528431,45.0,44.18410350759385
120.25,37.97438392978744,45.0,44.23135154382321
120.5,38.36459790074739,45.0,44.27597534843317
120.75,38.74036841963377,45.0,44.318072055218146
121.0,39.10153382584139,45.0,44.357739885157756
121.25,39.44800384140988,45.0,44.39507766636082
121.5,39.779755856799724,45.0,44.43018437898773
121.75,40.0968308954609,45.0,44.463158727311736
122.0,40.399329323480806,45.0,44.49409874063314
122.25,40.687406368313226,45.0,44.52310140433068
122.5,40.96126750758731,45.0,44.55026232192355
122.75,41.22116378539508,45.0,44.57567540863198
123.0,41.467387109375174,45.0,44.59943261656541
123.25,41.70026557746439,45.0,44.6216236913388
123.5,41.920158878484735,45.0,44.64233595962043
123.75,42.127453805873905,45.0,44.66165414685044
124.0,42.32255991894378,45.0,44.67966022413781
124.25,42.50590538114806,45.0,44.69643328314549
124.5,42.6779330000303,45.0,44.71204943760726
124.75,42.83909648887035,45.0,44.72658174998551
125.0,42.98985696560417,45.0,44.74010018167409
125.25,43.130679700402396,45.0,44.75267156507406
125.5,43.26203111939081,45.0,44.764359595819805
125.75,43.38437606840623,45.0,44.77522484340665
126.0,43.49817533742062,45.0,44.78532477846694
126.25,43.60388344334451,45.0,44.79471381495713
126.5,43.70194666634021,45.0,44.80344336555076
126.75,43.7928013325332,45.0,44.811561908580515
127.0,43.87687233409815,45.0,44.81911506493269
127.25,43.954571876103024,45.0,44.82614568336949
127.5,44.02629843820395,45.0,44.832693932833806
127.75,44.09243593827859,45.0,44.83879740037888
128.0,,,44.83778126802538
128.25,,,44.83676517414324
128.5,,,44.835749118730995
128.75,,,44.834733101787194
129.0,,,44.833717123310386
129.25,,,44.83270118329911
129.5,,,44.8316852817519
129.75,,,44.83066941866731
130.0,,,44.8296535940439
130.25,,,44.828637807880185
130.5,,,44.82762206017471
130.75,,,44.826606350926035
131.0,,,44.8255906801327
131.25,,,44.82457504779325
131.5,,,44.82355945390623
131.75,,,44.82254389847018
132.0,,,44.82152838148363
132.25,,,44.820512902945154
132.5,,,44.81949746285327
132.75,,,44.818482061206545
133.0,,,44.8174666980035
133.25,,,44.81645137324271
133.5,,,44.815436086922674
133.75,,,44.814420839041986
134.0,,,44.81340562959916
134.25,,,44.81239045859276
134.5,,,44.811375326021306
134.75,,,44.81036023188336
135.0,,,44.80934517617746
135.25,,,44.808330158902166
135.5,,,44.807315180056
135.75,,,44.80630023963753
136.0,,,44.80528533764528
136.25,,,44.8042704740778
136.5,,,44.80325564893366
136.75,,,44.80224086221138
137.0,,,44.8012261139095
137.25,,,44.80021140402658
137.5,,,44.799196732561164
137.75,,,44.79818209951179
138.0,,,44.79716750487702
138.25,,,44.796152948655376
138.5,,,44.79513843084543
138.75,,,44.794123951445705
139.0,,,44.79310951045475
139.25,,,44.79209510787112
139.5,,,44.79108074369336
139.75,,,44.79006641792001
140.0,,,44.78905213054962
140.25,,,44.788037881580735
140.5,,,44.7870236710119
140.75,,,44.786009498841665
141.0,,,44.78499536506857
141.25,,,44.78398126969116
141.5,,,44.782967212708
141.75,,,44.78195319411761
142.0,,,44.78093921391856
142.25,,,44.77992527210938
142.5,,,44.77891136868862
142.75,,,44.77789750365482
143.0,,,44.77688367700655
143.25,,,44.77586988874234
143.5,,,44.77485613886073
143.75,,,44.773842427360286
144.0,44.090057016396,45.0,44.77996189341512
144.25,44.145971181500606,45.0,44.78570533059616
144.5,44.19736600719423,45.0,44.79110313195507
144.75,44.2445615760871,45.0,44.79618353795297
145.0,44.28786180479157,45.0,44.80097274517854
145.25,44.327554522246906,45.0,44.805495014539346
145.5,44.363911650752634,45.0,44.809772778235796
145.75,44.397189476514015,45.0,44.8138267449155
146.0,44.427628997106645,45.0,44.817676002491076
146.25,44.45545633394666,45.0,44.82133811818386
146.5,44.48088319859303,45.0,44.8248292354318
146.75,44.50410740249224,45.0,44.828164167369266
147.0,44.52531340058883,45.0,44.83135648665093
147.25,44.54467286005514,45.0,44.834418611451
147.5,44.56234524622692,45.0,44.83736188752182
147.75,44.57847841865868,45.0,44.84019666624409
148.0,44.59320923102265,45.0,44.842932378642594
148.25,44.60666412936063,45.0,44.845577605378665
148.5,44.61895974395086,45.0,44.84814014276225
148.75,44.63020347076559,45.0,44.850627064853654
149.0,44.64049403916533,45.0,44.85304478174744
149.25,44.649922063096966,45.0,44.85539909414945
149.5,44.65857057363367,45.0,44.85769524437251
149.75,44.666515531211076,45.0,44.859937963887184
150.0,44.67382631637678,45.0,44.86213151757228
150.25,44.6805661982775,45.0,44.864279744814674
150.5,44.68679278046192,45.0,44.866386097611084
150.75,44.692558423878,45.0,44.86845367582514
151.0,44.69791064719415,45.0,44.870485259752186
151.25,44.702892504776884,45.0,44.872483340142296
151.5,44.70754294281695,45.0,44.87445014582811
151.75,44.71189713421566,45.0,44.87638766910071
152.0,,,44.87537011355795
152.25,,,44.87435259654043
152.5,,,44.87333511804669
152.75,,,44.87231767807528
153.0,,,44.87130027662472
153.25,,,44.87028291369357
153.5,,,44.869265589280374
153.75,,,44.868248303383666
154.0,,,44.86723105600199
154.25,,,44.866213847133885
154.5,,,44.86519667677789
154.75,,,44.86417954493256
155.0,,,44.863162451596416
155.25,,,44.86214539676803
155.5,,,44.86112838044591
155.75,,,44.860111402628625
156.0,,,44.859094463314705
156.25,,,44.85807756250269
156.5,,,44.85706070019113
156.75,,,44.856043876378564
157.0,,,44.855027091063526
157.25,,,44.85401034424458
157.5,,,44.85299363592024
157.75,,,44.85197696608908
158.0,,,44.850960334749615
158.25,,,44.849943741900404
158.5,,,44.848927187539985
158.75,,,44.847910671666895
159.0,,,44.846894194279685
159.25,,,44.8458777553769
159.5,,,44.844861354957075
159.75,,,44.843844993018756
160.0,,,44.84282866956049
