t_hours,T_bed_C,charge_kW,discharge_kW,loss_kW,T_supply_C
3515.5,41.225301004859936,0.0,0.0,0.6537860904465141,
3515.75,41.22442168156468,0.0,0.0,0.6537613377279454,
3516.0,41.22354239156111,0.0,0.0,0.653736585946529,
3516.25,41.22266313484797,0.0,0.0,0.6537118351022293,
3516.5,41.221783911424,0.0,0.0,0.653687085195011,
3516.75,41.22090472128793,0.0,0.0,0.6536623362248385,
3517.0,41.22002556443851,0.0,0.0,0.6536375881916761,
3517.25,41.21914644087447,0.0,0.0,0.6536128410954886,
3517.5,41.21826735059455,0.0,0.0,0.6535880949362403,
3517.75,41.2173882935975,0.0,0.0,0.6535633497138958,
3518.0,41.21650926988206,0.0,0.0,0.6535386054284198,
3518.25,41.21563027944696,0.0,0.0,0.6535138620797769,
3518.5,41.21475132229095,0.0,0.0,0.6534891196679313,
3518.75,41.21387239841276,0.0,0.0,0.6534643781928478,
3519.0,41.21299350781114,0.0,0.0,0.6534396376544906,
3519.25,41.21211465048482,0.0,0.0,0.6534148980528247,
3519.5,41.21123582643255,0.0,0.0,0.6533901593878143,
3519.75,41.21035703565306,0.0,0.0,0.653365421659424,
3520.0,41.2094782781451,0.0,0.0,0.6533406848676183,
3520.25,41.208599553907405,0.0,0.0,0.6533159490123618,
3520.5,41.207720862938714,0.0,0.0,0.6532912140936191,
3520.75,41.20684220523778,0.0,0.0,0.6532664801113548,
3521.0,41.20596358080332,0.0,0.0,0.6532417470655333,
3521.25,41.205084989634095,0.0,0.0,0.6532170149561191,
3521.5,41.204206431728835,0.0,0.0,0.6531922837830768,
3521.75,41.20332790708629,0.0,0.0,0.653167553546371,
3522.0,41.202449415705196,0.0,0.0,0.6531428242459664,
3522.25,41.20157095758429,0.0,0.0,0.6531180958818273,
3522.5,41.200692532722314,0.0,0.0,0.6530933684539184,
3522.75,41.19981414111801,0.0,0.0,0.653068641962204,
3523.0,41.19893578277012,0.0,0.0,0.653043916406649,
3523.25,41.198057457677386,0.0,0.0,0.6530191917872179,
3523.5,41.19717916583854,0.0,0.0,0.652994468103875,
3523.75,41.196300907252336,0.0,0.0,0.6529697453565849,
3524.0,41.195422681917506,0.0,0.0,0.6529450235453125,
3524.25,41.19454448983279,0.0,0.0,0.652920302670022,
3524.5,41.19366633099694,0.0,0.0,0.652895582730678,
3524.75,41.19278820540869,0.0,0.0,0.6528708637272453,
3525.0,41.191910113066776,0.0,0.0,0.6528461456596885,
3525.25,41.19103205396995,0.0,0.0,0.6528214285279716,
3525.5,41.19015402811694,0.0,0.0,0.6527967123320599,
3525.75,41.1892760355065,0.0,0.0,0.6527719970719176,
3526.0,41.18839807613737,0.0,0.0,0.652747282747509,
3526.25,41.18752015000828,0.0,0.0,0.6527225693587994,
3526.5,41.18664225711799,0.0,0.0,0.6526978569057525,
3526.75,41.18576439746523,0.0,0.0,0.6526731453883338,
3527.0,41.184886571048736,0.0,0.0,0.6526484348065072,
3527.25,41.18400877786726,0.0,0.0,0.6526237251602375,
3527.5,41.18313101791954,0.0,0.0,0.6525990164494893,
3527.75,41.18225329120432,0.0,0.0,0.652574308674227,
3528.0,41.18137559772034,0.0,0.0,0.6525496018344153,
3528.25,41.18049793746634,0.0,0.0,0.6525248959300192,
3528.5,41.17962031044107,0.0,0.0,0.6525001909610026,
3528.75,41.17874271664326,0.0,0.0,0.6524754869273304,
3529.0,41.177865156071654,0.0,0.0,0.6524507838289673,
3529.25,41.176987628725,0.0,0.0,0.6524260816658777,
3529.5,41.17611013460204,0.0,0.0,0.6524013804380261,
3529.75,41.175232673701515,0.0,0.0,0.6523766801453773,
